web-scraper-order,web-scraper-start-url,Category,Category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,products-review
1605351070-390,https://www.banglashoppers.com/,Hair Care Shop,https://www.banglashoppers.com/hair-care-shop.html,Parachute Advansed Enriched Coconut Hair Oil 290ml,https://www.banglashoppers.com/parachute-advansed-enriched-coconut-hair-oil-290ml.html,Parachute Advansed Enriched Coconut Hair Oil 290ml,158,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/6/_/6._parachute_hair_oil_advansed_enriched_coconut_290ml.png,0,0
1605347961-146,https://www.banglashoppers.com/,Mens Products,https://www.banglashoppers.com/mens-products.html,Garnier Men Power White Fairness Moisturiser SPF 15 - 45g,https://www.banglashoppers.com/garnier-men-power-white-fairness-moisturiser-spf-15-45g.html,Garnier Men Power White Fairness Moisturiser SPF 15 - 45g,210,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/g/a/garnier-men-power-white-fm-50_5g-spf-15_1.jpg,0,0
1605350514-356,https://www.banglashoppers.com/,Hair Care Shop,https://www.banglashoppers.com/hair-care-shop.html,Sunsilk - Natural Recharge Hijab Anti-Breakage Almond & Honey Shampoo - 375ml,https://www.banglashoppers.com/sunsilk-natural-recharge-hijab-anti-breakage-almond-honey-shampoo-375ml-bangladesh-n.html,Sunsilk - Natural Recharge Hijab Anti-Breakage Almond & Honey Shampoo - 375ml,315,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/4/w/4w9a2103_1.jpg,0,0
1605353784-624,https://www.banglashoppers.com/,Makeup Shop,https://www.banglashoppers.com/makeup-shop.html,W7 HD Concealer - Light Neutral - LN4 - 14ml,https://www.banglashoppers.com/w7-hd-concealer-light-neutral-ln4-14ml.html,W7 HD Concealer - Light Neutral - LN4 - 14ml,450,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/w/7/w7_hd_concealer_-_light_neutral_-_ln4_-_14ml.jpg,0,0
1605353723-609,https://www.banglashoppers.com/,Makeup Shop,https://www.banglashoppers.com/makeup-shop.html,Technic Pressed Pigment Eye Shadow Palette - Gothica - 30g,https://www.banglashoppers.com/technic-pressed-pigment-eye-shadow-palette-gothica-30g.html,Technic Pressed Pigment Eye Shadow Palette - Gothica - 30g,675,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/t/e/technic_pressed_pigment_eye_shadow_palette_-_gothica_-_30g.jpg,0,0
1605347174-80,https://www.banglashoppers.com/,Perfume Shop,https://www.banglashoppers.com/perfume-shop.html,Nivea Men Cool Kick Deodorant Roll On - 50ml,https://www.banglashoppers.com/nivea-men-cool-kick-deodorant-roll-on-50ml.html,Nivea Men Cool Kick Deodorant Roll On - 50ml,200,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/1/_/1.png,0,0
1605353629-589,https://www.banglashoppers.com/,Makeup Shop,https://www.banglashoppers.com/makeup-shop.html,Absolute New York Supreme Slim Demi Matte Lipstick - Poppy Field - MLSS58 - 1.3gm,https://www.banglashoppers.com/absolute-new-york-supreme-slim-demi-matte-lipstick-poppy-field-mlss58-1-3gm.html,Absolute New York Supreme Slim Demi Matte Lipstick - Poppy Field - MLSS58 - 1.3gm,675,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/a/b/absolute_new_york_supreme_slim_demi_matte_lipstick_-_poppy_field_-_mlss58_-_1.3gm.jpg,0,0
1605344828-48,https://www.banglashoppers.com/,Perfume Shop,https://www.banglashoppers.com/perfume-shop.html,Fogg Scent Dazzle For Men - 100ml,https://www.banglashoppers.com/fogg-scent-dazzle-for-men-100ml.html,Fogg Scent Dazzle For Men - 100ml,799,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/f/o/fogg_-_scent_rock_star_dazzle_-_100_ml.jpg,0,0
1605347681-120,https://www.banglashoppers.com/,Perfume Shop,https://www.banglashoppers.com/perfume-shop.html,Dove Combo 04 - Body Spray Original - 150ml,https://www.banglashoppers.com/dove-combo-04-body-spray-original-150ml.html,Dove Combo 04 - Body Spray Original - 150ml,280,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/0/4/04_1.jpg,0,0
1605350780-372,https://www.banglashoppers.com/,Hair Care Shop,https://www.banglashoppers.com/hair-care-shop.html,Clinic Plus Shampoo Strong and Long 170ml,https://www.banglashoppers.com/clinic-plus-strong-long-health-shampoo-170ml.html,Clinic Plus Shampoo Strong and Long 170ml,150,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/c/p/cpsl170h.jpg,0,0
