web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating
1605178716-290,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,Oppo A33 3GB/32GB,https://www.pickaboo.com/oppo-a33-3gb-32gb.html,Oppo A33 3GB/32GB,13990,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/o/p/oppo-a33-3gb-32gb-new-content-image.jpg,3.5
1605179073-328,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,Huawei Y5p 2GB/32GB,https://www.pickaboo.com/huawei-y5p-2gb-32gb.html,Huawei Y5p 2GB/32GB,9999,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/h/u/huawei-y5p-2gb-32gb-new-content-image.jpg,4.8
1605178731-291,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,High Quality Zepter Kitchen Knife Set 6 Pcs,https://www.pickaboo.com/high-quality-zepter-kitchen-knife-set-6-pcs.html,High Quality Zepter Kitchen Knife Set 6 Pcs,1595,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/k/n/knife-2_1.jpg,0
1605179167-336,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,realme 7i 8GB/128GB,https://www.pickaboo.com/realme-7i.html,realme 7i 8GB/128GB,18990,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/r/e/realme-7i-8gb-128gb-new-content-image.jpg,3.9
1605178994-320,https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/feature-phone.html,Nokia 210 DS,https://www.pickaboo.com/nokia-210-ds.html,Nokia 210 DS,3085,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/2/1/210-1.jpg,4.9
1605179192-339,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,realme C12 3GB/32GB,https://www.pickaboo.com/realme-c12-3gb-32gb.html,realme C12 3GB/32GB,10390,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/r/e/realme-c12-1.jpg,4.7
1605178823-307,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,Ankuxi Disinfected Spray Generator,https://www.pickaboo.com/ankuxi-disinfected-spray-generator.html,Ankuxi Disinfected Spray Generator,2000,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/a/n/anluxi-disinfected-spray-generator.jpg,0
1605178426-250,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,Skmei 9217BLUBL Fashion Wristwatch for Men,https://www.pickaboo.com/skmei-9217blubl-fashion-wristwatch-for-men.html,Skmei 9217BLUBL Fashion Wristwatch for Men,1800,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/9/2/9217-blue.jpg,0
1605178437-252,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,Skmei 9217BLBL Fashion Wristwatch for Men,https://www.pickaboo.com/skmei-9217blbl-fashion-wristwatch-for-men.html,Skmei 9217BLBL Fashion Wristwatch for Men,1800,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/9/2/9217-blue-mwtal.jpg,0
1605179035-325,https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/feature-phone.html,Nokia 110DS 2019,https://www.pickaboo.com/nokia-110ds-2019.html,Nokia 110DS 2019,2150,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/n/o/nokia-110ds-2019.-basejpg.jpg,0
